ID;Species;Initial;Treatment;Deployment;Retrieval;Final;Dry
1712;Laminaria ochroleuca;3.440;;15.11.2024;;;
;;;;;;;
1713;Laminaria ochroleuca;3.478;prekilled;15.11.2024;;;
;;;;;;;
1714;Laminaria ochroleuca;4.446;;15.11.2024;;;
;;;;;;;
1715;Laminaria ochroleuca;5.938;prekilled;15.11.2024;;;
;;;;;;;
1716;Laminaria ochroleuca;7.026;;15.11.2024;;;
;;;;;;;
1717;Laminaria ochroleuca;6.032;;15.11.2024;;;
;;;;;;;
1718;Laminaria ochroleuca;8.245;prekilled;15.11.2024;;;
;;;;;;;
1719;Laminaria ochroleuca;4.842;;15.11.2024;;;
;;;;;;;
1720;Laminaria ochroleuca;4.284;prekilled;15.11.2024;;;
;;;;;;;
1721;Laminaria ochroleuca;7.222;prekilled;15.11.2024;;;
;;;;;;;
1722;Laminaria ochroleuca;7.851;;15.11.2024;;;
;;;;;;;
1723;Laminaria ochroleuca;5.988;;15.11.2024;;;
;;;;;;;
1724;Laminaria ochroleuca;3.808;prekilled;15.11.2024;;;
;;;;;;;
1725;Laminaria ochroleuca;7.466;;15.11.2024;;;
;;;;;;;
1726;Laminaria ochroleuca;8.662;prekilled;15.11.2024;;;
;;;;;;;
1727;Laminaria ochroleuca;5.833;;15.11.2024;;;
;;;;;;;
1728;Laminaria ochroleuca;7.178;prekilled;15.11.2024;;;
;;;;;;;
1729;Laminaria ochroleuca;6.562;;15.11.2024;;;
;;;;;;;
1730;Laminaria ochroleuca;5.487;;15.11.2024;;;
;;;;;;;
1731;Laminaria ochroleuca;4.417;prekilled;15.11.2024;;;
;;;;;;;
1732;Laminaria ochroleuca;7.318;prekilled;15.11.2024;;;
;;;;;;;
1733;Laminaria ochroleuca;4.165;prekilled;15.11.2024;;;
;;;;;;;
1734;Laminaria ochroleuca;6.300;prekilled;15.11.2024;;;
;;;;;;;
1735;Laminaria ochroleuca;8.180;prekilled;15.11.2024;;;
;;;;;;;
1736;Laminaria ochroleuca;4.781;;15.11.2024;;;
;;;;;;;
1737;Laminaria ochroleuca;7.443;;15.11.2024;;;
;;;;;;;
1738;Laminaria ochroleuca;9.211;prekilled;15.11.2024;;;
;;;;;;;
1739;Laminaria ochroleuca;7.182;;15.11.2024;;;
;;;;;;;
1740;Laminaria ochroleuca;5.781;;15.11.2024;;;
;;;;;;;
1741;Laminaria ochroleuca;5.482;prekilled;15.11.2024;;;
;;;;;;;
1742;Laminaria ochroleuca;3.480;prekilled;15.11.2024;;;
;;;;;;;
1743;Laminaria ochroleuca;3.132;;15.11.2024;;;
;;;;;;;
1744;Laminaria ochroleuca;2.974;;15.11.2024;;;
