Experiment,Species,Condition,k,t0.5,alpha,mu,tau
134,Laminaria digitata,Live,0.6 (-0.59 ± 0.51),115 (4.8 ± 0.51),0.28 ± 0.48,86 (4.6 ± 0.79),5.1 (1.6 ± 0.32)
135,Laminaria digitata,Live,0.27 (-1.4 ± 0.93),254 (5.7 ± 0.93),0.65 ± 0.8,84 (4.5 ± 0.81),4.8 (1.5 ± 0.36)
136,Laminaria digitata,Live,0.74 (-0.44 ± 0.76),94 (4.7 ± 0.76),0.22 ± 0.88,78 (4.4 ± 0.85),5.2 (1.6 ± 0.35)
137,Laminaria digitata,Live,0.74 (-0.43 ± 0.73),93 (4.7 ± 0.73),0.21 ± 0.89,78 (4.4 ± 0.85),5.2 (1.6 ± 0.35)
138,Laminaria digitata,Live,1.5 (0.32 ± 0.5),48 (3.9 ± 0.5),-0.42 ± 1.1,68 (4.3 ± 0.92),5.8 (1.7 ± 0.33)
139,Laminaria hyperborea,Live,0.4 (-1 ± 0.69),172 (5.3 ± 0.69),0.064 ± 0.45,182 (5.2 ± 0.99),4.1 (1.4 ± 0.37)
140,Laminaria hyperborea,Live,0.17 (-1.9 ± 0.94),401 (6.1 ± 0.94),0.49 ± 0.63,190 (5.3 ± 0.94),3.7 (1.3 ± 0.43)
141,Laminaria hyperborea,Live,0.23 (-1.6 ± 0.95),307 (5.9 ± 0.95),0.38 ± 0.65,189 (5.3 ± 0.94),3.8 (1.3 ± 0.42)
142,Laminaria hyperborea,Live,0.25 (-1.5 ± 0.95),277 (5.8 ± 0.95),0.32 ± 0.65,188 (5.3 ± 0.95),3.9 (1.3 ± 0.42)
143,Laminaria hyperborea,Live,0.5 (-0.87 ± 0.88),139 (5.1 ± 0.88),-0.35 ± 0.73,181 (5.2 ± 1),4.6 (1.5 ± 0.38)
144,Laminaria ochroleuca,Live,1.4 (0.31 ± 0.23),50 (3.9 ± 0.23),-0.76 ± 0.58,63 (4.3 ± 0.72),7.4 (2 ± 0.17)
145,Laminaria ochroleuca,Live,0.3 (-1.3 ± 0.87),231 (5.6 ± 0.87),1.1 ± 1.1,54 (4.1 ± 0.76),5.6 (1.7 ± 0.29)
146,Laminaria ochroleuca,Live,1.9 (0.62 ± 0.42),37 (3.6 ± 0.42),0.16 ± 1.5,37 (3.7 ± 0.86),6.6 (1.8 ± 0.3)
147,Laminaria ochroleuca,Live,0.8 (-0.34 ± 0.68),87 (4.6 ± 0.68),0.78 ± 1.2,48 (4 ± 0.8),6 (1.7 ± 0.3)
148,Laminaria ochroleuca,Live,3 (1.2 ± 0.48),23 (3.1 ± 0.48),-0.29 ± 1.7,29 (3.5 ± 0.89),7 (1.9 ± 0.29)
149,Ecklonia radiata,Live,7.9 (2.1 ± 0.17),8.7 (2.2 ± 0.17),-9.5 ± 0.89,140 (5 ± 0.87),14 (2.6 ± 0.15)
150,Ecklonia radiata,Live,5 (1.6 ± 0.13),14 (2.6 ± 0.13),-7.1 ± 0.53,162 (5.2 ± 0.78),11 (2.4 ± 0.17)
151,Ecklonia radiata,Live,5.2 (1.6 ± 0.18),13 (2.6 ± 0.18),-9.3 ± 1.2,109 (4.7 ± 1.1),13 (2.6 ± 0.16)
152,Laminaria digitata,Live,0.73 (-0.42 ± 0.65),95 (4.7 ± 0.65),-2 ± 1.7,35 (3.7 ± 1),7.3 (2 ± 0.28)
153,Laminaria digitata,Live,0.92 (-0.1 ± 0.28),75 (4.3 ± 0.28),0.27 ± 0.97,43 (3.7 ± 0.33),5.2 (1.6 ± 0.23)
154,Laminaria digitata,Live,1.4 (0.32 ± 0.27),51 (3.9 ± 0.27),-0.43 ± 1.2,42 (3.7 ± 0.5),5.8 (1.8 ± 0.24)
155,Alaria esculenta,Live,3.8 (1.3 ± 0.25),18 (2.9 ± 0.25),-6.1 ± 1.2,191 (5.1 ± 1.3),10 (2.3 ± 0.21)
156,Costaria costata,Live,15 (3 ± 1),4.5 (1.3 ± 1),-7 ± 1.1,121 (4.7 ± 1.1),11 (2.4 ± 0.19)
157,Costaria costata,Live,11 (2.7 ± 1),6.1 (1.5 ± 1),-11 ± 1.5,86 (4.4 ± 1.2),15 (2.7 ± 0.14)
158,Costaria costata,Live,13 (2.8 ± 1.1),5.5 (1.4 ± 1.1),-7.6 ± 1.1,125 (4.8 ± 1.1),11 (2.4 ± 0.18)
159,Undaria pinnatifida,Live,2.8 (1 ± 0.27),25 (3.2 ± 0.27),-2.9 ± 1.8,31 (3.6 ± 0.77),7.8 (2.1 ± 0.2)
160,Undaria pinnatifida,Live,4 (1.4 ± 0.41),17 (2.8 ± 0.41),-4 ± 2,45 (3.8 ± 1.1),8.8 (2.2 ± 0.24)
161,Undaria pinnatifida,Live,4.4 (1.6 ± 0.58),16 (2.7 ± 0.58),-6.6 ± 2.3,40 (3.7 ± 1.2),11 (2.4 ± 0.22)
162,Nereocystis luetkeana,Live,1.5 (0.4 ± 0.25),46 (3.8 ± 0.25),-2.3 ± 2.2,83 (3.8 ± 1.6),6.4 (1.9 ± 0.33)
163,Nereocystis luetkeana,Live,1.4 (0.35 ± 0.25),49 (3.9 ± 0.25),-0.98 ± 1.6,41 (3.7 ± 0.8),5.4 (1.7 ± 0.26)
164,Nereocystis luetkeana,Live,2.1 (0.78 ± 0.29),32 (3.5 ± 0.29),-2.4 ± 2.2,89 (3.9 ± 1.7),6.6 (1.9 ± 0.33)
165,Laminaria solidungula,Live,2.6 (0.94 ± 0.27),27 (3.3 ± 0.27),-1.1 ± 1.3,75 (4.3 ± 1.1),5.9 (1.7 ± 0.37)
